locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
b0001,thrL,0,190,255,1,0,0,66,0,thr operon leader peptide
b0016,insL1,0,15445,16557,1,0,0,1113,0,IS186/IS421 transposase
b0018,mokC,0,16751,16960,-1,0,0,210,0,regulatory protein MokC
b4412,hokC,0,16751,16903,-1,0,0,153,0,protein HokC
b0019,nhaA,0,17489,18655,1,0,0,1167,0,Na(+):H(+) antiporter NhaA
b0021,insB1,0,19811,20314,-1,0,0,504,0,IS1 protein InsB
b0022,insA1,0,20233,20508,-1,0,0,276,0,IS1 protein InsA
b0023,rpsT,0,20815,21078,-1,0,0,264,0,30S ribosomal subunit protein S20
b0024,yaaY,0,21181,21399,1,0,0,219,0,DUF2575 domain-containing protein YaaY
b0029,ispH,0,26277,27227,1,0,0,951,0,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
b0035,caiE,0,34781,35371,-1,0,0,591,0,putative transferase CaiE
b0044,fixX,0,45463,45750,1,0,0,288,0,putative ferredoxin FixX
b4577,sgrS,0,77367,77593,1,0,0,227,0,
b4662,sgrT,0,77388,77519,1,0,0,132,0,putative inhibitor of the PtsG glucose transporter
b0071,leuD,0,78848,79453,-1,0,0,606,0,3-isopropylmalate dehydratase subunit LeuD
b0075,leuL,0,83622,83708,-1,0,0,87,0,leu operon leader peptide
b0080,cra,0,88028,89032,1,0,0,1005,0,DNA-binding transcriptional dual regulator Cra
b0083,ftsL,0,91032,91397,1,0,0,366,0,cell division protein FtsL
b0086,murF,0,94650,96008,1,0,0,1359,0,D-alanyl-D-alanine-adding enzyme
b0087,mraY,0,96002,97084,1,0,0,1083,0,phospho-N-acetylmuramoyl-pentapeptide-transferase
b0090,murG,0,99644,100711,1,0,0,1068,0,N-acetylglucosaminyl transferase
b0092,ddlB,0,102233,103153,1,0,0,921,0,D-alanine--D-alanine ligase B
b0093,ftsQ,0,103155,103985,1,0,0,831,0,cell division protein FtsQ
b0097,secM,0,107705,108217,1,0,0,513,0,SecA translation regulator
b0101,yacG,0,111649,111846,-1,0,0,198,0,DNA gyrase inhibitor YacG
b4727,yacM,0,113244,113288,1,0,0,45,0,protein YacM
