locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
b0001,thrL,0,190,255,1,0,0,66,0,thr operon leader peptide
b0002,thrA,0,337,2799,1,1222,0.00811594202898551,2463,14,fused aspartate kinase/homoserine dehydrogenase 1
b0003,thrB,0,2801,3733,1,71,0.00305343511450382,933,2,homoserine kinase
b0004,thrC,0,3734,5020,1,176,0.00776914539400666,1287,7,threonine synthase
b0005,yaaX,0,5234,5530,1,550,0.0143540669856459,297,3,DUF2502 domain-containing protein YaaX
b0006,yaaA,0,5683,6459,-1,336,0.0073394495412844,777,4,peroxide stress resistance protein YaaA
b0007,yaaJ,0,6529,7959,-1,1624,0.0129611166500499,1431,13,putative transporter YaaJ
b0008,talB,0,8238,9191,1,36,0.0029940119760479,954,2,transaldolase B
b0009,mog,0,9306,9893,1,6,0.00242718446601942,588,1,molybdopterin adenylyltransferase
b0010,satP,0,9928,10494,-1,11,0.0100755667506297,567,4,acetate/succinate:H(+) symporter
b0011,yaaW,0,10643,11356,-1,2315,0.014,714,7,putative enzyme-specific chaperone YaaW
b0012,mbiA,0,10830,11315,1,2257,0.0175438596491228,486,6,uncharacterized protein MbiA
b0013,yaaI,0,11382,11786,-1,332,0.0105263157894737,405,3,DUF2541 domain-containing protein YaaI
b0014,dnaK,0,12163,14079,1,557,0.00744601638123604,1917,10,chaperone protein DnaK
b0015,dnaJ,0,14168,15298,1,37,0.00126103404791929,1131,1,chaperone protein DnaJ
b0016,insL1,0,15445,16557,1,0,0,1113,0,IS186/IS421 transposase
b0018,mokC,0,16751,16960,-1,0,0,210,0,regulatory protein MokC
b4412,hokC,0,16751,16903,-1,0,0,153,0,protein HokC
b4413,sokC,0,16952,17006,1,62,0.0256410256410256,55,1,
b0019,nhaA,0,17489,18655,1,0,0,1167,0,Na(+):H(+) antiporter NhaA
b0020,nhaR,0,18715,19620,1,965,0.0157232704402516,906,10,DNA-binding transcriptional activator NhaR
b0021,insB1,0,19811,20314,-1,0,0,504,0,IS1 protein InsB
b0022,insA1,0,20233,20508,-1,0,0,276,0,IS1 protein InsA
b0023,rpsT,0,20815,21078,-1,0,0,264,0,30S ribosomal subunit protein S20
b0024,yaaY,0,21181,21399,1,0,0,219,0,DUF2575 domain-containing protein YaaY
b0025,ribF,0,21407,22348,1,31,0.00303030303030303,942,2,bifunctional riboflavin kinase/FMN adenylyltransferase
b0026,ileS,0,22391,25207,1,19,0.0010136847440446,2817,2,isoleucine--tRNA ligase
b0027,lspA,0,25207,25701,1,2,0.00288184438040346,495,1,lipoprotein signal peptidase
b0028,fkpB,0,25826,26275,1,1,0.00316455696202532,450,1,peptidyl-prolyl cis-trans isomerase FkpB
b0029,ispH,0,26277,27227,1,0,0,951,0,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
b0030,rihC,0,27293,28207,1,810,0.0093603744149766,915,6,ribonucleoside hydrolase RihC
b0031,dapB,0,28374,29195,1,15,0.00173611111111111,822,1,4-hydroxy-tetrahydrodipicolinate reductase
b0032,carA,0,29651,30799,1,490,0.0062111801242236,1149,5,carbamoyl phosphate synthetase subunit alpha
b0033,carB,0,30817,34038,1,4276,0.0101950354609929,3222,23,carbamoyl phosphate synthetase subunit beta
b0034,caiF,0,34300,34695,1,66,0.00359712230215827,396,1,DNA-binding transcriptional activator CaiF
b0035,caiE,0,34781,35371,-1,0,0,591,0,putative transferase CaiE
b0036,caiD,0,35377,36162,-1,3597,0.0181159420289855,786,10,crotonobetainyl-CoA hydratase
b0037,caiC,0,36271,37824,-1,507,0.00827205882352941,1554,9,carnitine-CoA ligase
b0038,caiB,0,37898,39115,-1,2195,0.0117096018735363,1218,10,gamma-butyrobetainyl-CoA:carnitine CoA transferase
b0039,caiA,0,39244,40386,-1,427,0.00998751560549313,1143,8,crotonobetainyl-CoA reductase
b0040,caiT,0,40417,41931,-1,1711,0.0150801131008483,1515,16,L-carnitine:gamma-butyrobetaine antiporter
b0041,fixA,0,42403,43173,1,393,0.0055452865064695,771,3,putative electron transfer flavoprotein FixA
b0042,fixB,0,43188,44129,1,1109,0.0181818181818182,942,12,putative electron transfer flavoprotein FixB
b0043,fixC,0,44180,45466,1,1137,0.00776914539400666,1287,7,putative oxidoreductase FixC
b0044,fixX,0,45463,45750,1,0,0,288,0,putative ferredoxin FixX
b0045,yaaU,0,45807,47138,1,1801,0.012847965738758,1332,12,putative transporter YaaU
b0046,kefF,0,47246,47776,1,265,0.0107238605898123,531,4,regulator of KefC-mediated potassium transport and quinone oxidoreductase
b0047,kefC,0,47769,49631,1,1292,0.00766283524904215,1863,10,K(+) : H(+) antiporter KefC
b0048,folA,0,49823,50302,1,62,0.00297619047619048,480,1,dihydrofolate reductase
b0049,apaH,0,50380,51222,-1,834,0.00846023688663283,843,5,diadenosine tetraphosphatase
b0050,apaG,0,51229,51606,-1,2,0.0075187969924812,378,2,DUF525 domain-containing protein ApaG
b0051,rsmA,0,51609,52430,-1,130,0.00868055555555556,822,5,16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase
b0052,pdxA,0,52427,53416,-1,196,0.0172910662824208,990,12,4-hydroxythreonine-4-phosphate dehydrogenase
b0053,surA,0,53416,54702,-1,48,0.00443951165371809,1287,4,peptidyl-prolyl cis-trans isomerase SurA
b0054,lptD,0,54755,57109,-1,2,0.000606428138265616,2355,1,lipopolysaccharide assembly protein LptD
b0055,djlA,0,57364,58179,1,3,0.0034965034965035,816,2,co-chaperone protein DjlA
b0056,yabP,0,58474,59124,1,960,0.0153172866520788,651,7,putative uncharacterized protein YabP
b0057,yabQ,0,59121,59279,1,731,0.0619469026548673,159,7,protein YabQ
b0058,rluA,0,59687,60346,-1,47,0.00865800865800866,660,4,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase
b0059,rapA,0,60358,63264,-1,2808,0.00786240786240786,2907,16,RNA polymerase-binding ATPase and RNAP recycling factor
b0060,polB,0,63429,65780,-1,1827,0.00910194174757281,2352,15,DNA polymerase II
b0061,araD,0,65855,66550,-1,6408,0.00614754098360656,696,3,L-ribulose-5-phosphate 4-epimerase AraD
b0062,araA,0,66835,68337,-1,160,0.00759734093067426,1503,8,L-arabinose isomerase
b0063,araB,0,68348,70048,-1,3954,0.00923593618807725,1701,11,ribulokinase
b0064,araC,0,70387,71265,1,411,0.00486223662884927,879,3,DNA-binding transcriptional dual regulator AraC
b0065,yabI,0,71351,72115,1,1662,0.0148975791433892,765,8,DedA family protein YabI
b0066,thiQ,0,72229,72927,-1,67,0.00203665987780041,699,1,thiamine ABC transporter ATP binding subunit
b0067,thiP,0,72911,74521,-1,802,0.00885739592559787,1611,10,thiamine ABC transporter membrane subunit
b0068,thiB,0,74497,75480,-1,190,0.0101449275362319,984,7,thiamine ABC transporter periplasmic binding protein
b0069,sgrR,0,75644,77299,-1,12246,0.0112068965517241,1656,13,DNA-binding transcriptional dual regulator SgrR
b4577,sgrS,0,77367,77593,1,0,0,227,0,
b4662,sgrT,0,77388,77519,1,0,0,132,0,putative inhibitor of the PtsG glucose transporter
b0070,setA,0,77621,78799,1,7883,0.026602176541717,1179,22,sugar exporter SetA
b0071,leuD,0,78848,79453,-1,0,0,606,0,3-isopropylmalate dehydratase subunit LeuD
b0072,leuC,0,79464,80864,-1,286,0.00611620795107034,1401,6,3-isopropylmalate dehydratase subunit LeuC
