locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
b0001,thrL,0,190,255,1,0,0,66,0,thr operon leader peptide
b0016,insL1,0,15445,16557,1,0,0,1113,0,IS186/IS421 transposase
b4412,hokC,0,16751,16903,-1,0,0,153,0,protein HokC
b4413,sokC,0,16952,17006,1,0,0,55,0,
b0021,insB1,0,19811,20314,-1,0,0,504,0,IS1 protein InsB
b0022,insA1,0,20233,20508,-1,0,0,276,0,IS1 protein InsA
b0023,rpsT,0,20815,21078,-1,0,0,264,0,30S ribosomal subunit protein S20
b0024,yaaY,0,21181,21399,1,0,0,219,0,DUF2575 domain-containing protein YaaY
b0027,lspA,0,25207,25701,1,0,0,495,0,lipoprotein signal peptidase
b0028,fkpB,0,25826,26275,1,0,0,450,0,peptidyl-prolyl cis-trans isomerase FkpB
b0031,dapB,0,28374,29195,1,0,0,822,0,4-hydroxy-tetrahydrodipicolinate reductase
b0044,fixX,0,45463,45750,1,0,0,288,0,putative ferredoxin FixX
b0054,lptD,0,54755,57109,-1,9,0.000606428138265616,2355,1,lipopolysaccharide assembly protein LptD
b4577,sgrS,0,77367,77593,1,0,0,227,0,
b4662,sgrT,0,77388,77519,1,0,0,132,0,putative inhibitor of the PtsG glucose transporter
b0075,leuL,0,83622,83708,-1,0,0,87,0,leu operon leader peptide
b0080,cra,0,88028,89032,1,0,0,1005,0,DNA-binding transcriptional dual regulator Cra
b0083,ftsL,0,91032,91397,1,0,0,366,0,cell division protein FtsL
b0084,ftsI,0,91413,93179,1,2,0.000808407437348424,1767,1,peptidoglycan DD-transpeptidase FtsI
b4727,yacM,0,113244,113288,1,0,0,45,0,protein YacM
b0109,nadC,0,117752,118645,-1,0,0,894,0,quinolinate phosphoribosyltransferase (decarboxylating)
b0113,pdhR,0,122092,122856,1,0,0,765,0,DNA-binding transcriptional dual regulator PdhR
b0126,can,0,142008,142670,-1,0,0,663,0,carbonic anhydrase 2
b0142,folK,0,157253,157732,-1,0,0,480,0,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
b4728,yadW,0,176552,176617,1,0,0,66,0,protein YadW
b0156,erpA,0,176610,176954,1,0,0,345,0,iron-sulfur cluster insertion protein ErpA
