locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
b0001,thrL,0,190,255,1,0,0,66,0,thr operon leader peptide
b0016,insL1,0,15445,16557,1,0,0,1113,0,IS186/IS421 transposase
b0018,mokC,0,16751,16960,-1,0,0,210,0,regulatory protein MokC
b4412,hokC,0,16751,16903,-1,0,0,153,0,protein HokC
b0021,insB1,0,19811,20314,-1,0,0,504,0,IS1 protein InsB
b0022,insA1,0,20233,20508,-1,0,0,276,0,IS1 protein InsA
b0023,rpsT,0,20815,21078,-1,0,0,264,0,30S ribosomal subunit protein S20
b0024,yaaY,0,21181,21399,1,0,0,219,0,DUF2575 domain-containing protein YaaY
b0027,lspA,0,25207,25701,1,0,0,495,0,lipoprotein signal peptidase
b0044,fixX,0,45463,45750,1,0,0,288,0,putative ferredoxin FixX
b0066,thiQ,0,72229,72927,-1,0,0,699,0,thiamine ABC transporter ATP binding subunit
b4577,sgrS,0,77367,77593,1,0,0,227,0,
b4662,sgrT,0,77388,77519,1,0,0,132,0,putative inhibitor of the PtsG glucose transporter
b0071,leuD,0,78848,79453,-1,0,0,606,0,3-isopropylmalate dehydratase subunit LeuD
b0075,leuL,0,83622,83708,-1,0,0,87,0,leu operon leader peptide
b4726,yabR,0,85467,85511,-1,0,0,45,0,protein YabR
b0081,mraZ,0,89634,90092,1,0,0,459,0,DNA-binding transcriptional repressor MraZ
b0083,ftsL,0,91032,91397,1,0,0,366,0,cell division protein FtsL
b0086,murF,0,94650,96008,1,0,0,1359,0,D-alanyl-D-alanine-adding enzyme
b0088,murD,0,97087,98403,1,0,0,1317,0,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
b0091,murC,0,100765,102240,1,0,0,1476,0,UDP-N-acetylmuramate--L-alanine ligase
b0096,lpxC,0,106557,107474,1,0,0,918,0,UDP-3-O-acyl-N-acetylglucosamine deacetylase
b0101,yacG,0,111649,111846,-1,0,0,198,0,DNA gyrase inhibitor YacG
b4727,yacM,0,113244,113288,1,0,0,45,0,protein YacM
b0113,pdhR,0,122092,122856,1,0,0,765,0,DNA-binding transcriptional dual regulator PdhR
b0126,can,0,142008,142670,-1,0,0,663,0,carbonic anhydrase 2
